Date,Adj Close
1/2/2001,44.56
1/3/2001,42.63
1/4/2001,41.44
1/5/2001,41.63
1/8/2001,41.44
1/9/2001,41
1/10/2001,40.5
1/11/2001,40.88
1/12/2001,41.41
1/15/2001,41.41
1/16/2001,40.91
1/17/2001,40.13
1/18/2001,39.59
1/19/2001,39.72
1/22/2001,39.72
1/23/2001,40.91
1/24/2001,40.81
1/25/2001,41.25
1/26/2001,40.5
1/29/2001,40.31
1/30/2001,42.03
1/31/2001,42.08
2/1/2001,41.74
2/2/2001,41.49
2/5/2001,42.4
2/6/2001,42.17
2/7/2001,42.18
2/8/2001,42.25
2/9/2001,42.94
2/12/2001,42.88
2/13/2001,42.4
2/14/2001,41.97
2/15/2001,41.25
2/16/2001,42.01
2/19/2001,42.01
2/20/2001,41.9
2/21/2001,41.76
2/22/2001,42.1
2/23/2001,41.75
2/26/2001,41.9
2/27/2001,41
2/28/2001,40.51
3/1/2001,40.7
3/2/2001,41.6
3/5/2001,41.92
3/6/2001,41.8
3/7/2001,42.1
3/8/2001,42.92
3/9/2001,42.99
3/12/2001,41.88
3/13/2001,41.65
3/14/2001,41.32
3/15/2001,41.47
3/16/2001,40.9
3/19/2001,40.63
3/20/2001,40.33
3/21/2001,39.9
3/22/2001,38.85
3/23/2001,38.45
3/26/2001,39.09
3/27/2001,40.32
3/28/2001,39.26
3/29/2001,39.15
3/30/2001,40.5
4/2/2001,39.8
4/3/2001,38.95
4/4/2001,39.35
4/5/2001,40.47
4/6/2001,41
4/9/2001,41.26
4/10/2001,42.01
4/11/2001,40.97
4/12/2001,41
4/16/2001,42.28
4/17/2001,42.35
4/18/2001,42.56
4/19/2001,42.22
4/20/2001,42.58
4/23/2001,44
4/24/2001,43.74
4/25/2001,44.54
4/26/2001,44.42
4/27/2001,44.53
4/30/2001,44.3
5/1/2001,44.33
5/2/2001,43.25
5/3/2001,43.05
5/4/2001,43.78
5/7/2001,44.1
5/8/2001,44.37
5/9/2001,44.86
5/10/2001,44.05
5/11/2001,43.82
5/14/2001,44.53
5/15/2001,44.72
5/16/2001,44.75
5/17/2001,44.37
5/18/2001,45.1
5/21/2001,44.38
5/22/2001,44.4
5/23/2001,43.63
5/24/2001,43.97
5/25/2001,44
5/28/2001,44
5/29/2001,43.9
5/30/2001,44.44
5/31/2001,44.38
6/1/2001,44.47
6/4/2001,45.38
6/5/2001,45.78
6/6/2001,44.7
6/7/2001,44.59
6/8/2001,44.69
6/11/2001,44.81
6/12/2001,45.06
6/13/2001,44.96
6/14/2001,44.39
6/15/2001,44.45
6/18/2001,44.25
6/19/2001,44.19
6/20/2001,43.87
6/21/2001,44.1
6/22/2001,44.46
6/25/2001,44.26
6/26/2001,44.28
6/27/2001,43.61
6/28/2001,43.41
6/29/2001,43.78
7/2/2001,43.85
7/3/2001,43.67
7/4/2001,43.67
7/5/2001,43.5
7/6/2001,43.4
