Date,Adj Close
1/2/2001,84.81
1/3/2001,94.63
1/4/2001,93.19
1/5/2001,94
1/8/2001,93.56
1/9/2001,92.56
1/10/2001,93.44
1/11/2001,93.69
1/12/2001,93.81
1/15/2001,93.81
1/16/2001,92.75
1/17/2001,96.69
1/18/2001,108.31
1/19/2001,111.38
1/22/2001,111.38
1/23/2001,109.06
1/24/2001,110.44
1/25/2001,110.75
1/26/2001,114.19
1/29/2001,117.06
1/30/2001,117.91
1/31/2001,112
2/1/2001,114.03
2/2/2001,110.27
2/5/2001,112.22
2/6/2001,114.19
2/7/2001,116.91
2/8/2001,114.1
2/9/2001,112
2/12/2001,114.9
2/13/2001,113.75
2/14/2001,115.1
2/15/2001,116.84
2/16/2001,115
2/19/2001,115
2/20/2001,111.5
2/21/2001,107.68
2/22/2001,108.9
2/23/2001,104
2/26/2001,105.25
2/27/2001,102.59
2/28/2001,99.9
3/1/2001,106.05
3/2/2001,102.31
3/5/2001,104.91
3/6/2001,106
3/7/2001,107.43
3/8/2001,106.39
3/9/2001,99.29
3/12/2001,95.49
3/13/2001,98.39
3/14/2001,94.85
3/15/2001,95.46
3/16/2001,90.1
3/19/2001,92.5
3/20/2001,88.3
3/21/2001,88.98
3/22/2001,89.1
3/23/2001,93.5
3/26/2001,94.25
3/27/2001,99.5
3/28/2001,94.41
3/29/2001,95.04
3/30/2001,96.18
4/2/2001,94.66
4/3/2001,90.39
4/4/2001,92
4/5/2001,98.21
4/6/2001,97.95
4/9/2001,96
4/10/2001,98.66
4/11/2001,97.43
4/12/2001,96.2
4/16/2001,96.75
4/17/2001,99.7
4/18/2001,106.5
4/19/2001,114.47
4/20/2001,114.83
4/23/2001,112
4/24/2001,112.67
4/25/2001,114.85
4/26/2001,113.74
4/27/2001,116.2
4/30/2001,115.14
5/1/2001,118.51
5/2/2001,115.4
5/3/2001,113.7
5/4/2001,115.86
5/7/2001,115.9
5/8/2001,117.7
5/9/2001,116.98
5/10/2001,115.2
5/11/2001,111.81
5/14/2001,112.56
5/15/2001,113.58
5/16/2001,115.8
5/17/2001,115.07
5/18/2001,117.44
5/21/2001,119.04
5/22/2001,118.01
5/23/2001,117.4
5/24/2001,119.6
5/25/2001,117.8
5/28/2001,117.8
5/29/2001,115.27
5/30/2001,112.65
5/31/2001,111.8
6/1/2001,112.89
6/4/2001,113.64
6/5/2001,116.97
6/6/2001,117.5
6/7/2001,117.25
6/8/2001,116.1
6/11/2001,117.36
6/12/2001,117.24
6/13/2001,116.59
6/14/2001,115.75
6/15/2001,113.6
6/18/2001,114.27
6/19/2001,114.88
6/20/2001,113
6/21/2001,112.6
6/22/2001,112.87
6/25/2001,112.63
6/26/2001,113.04
6/27/2001,113.52
6/28/2001,115.1
6/29/2001,113.5
7/2/2001,114.35
7/3/2001,112.98
7/4/2001,112.98
7/5/2001,112.1
7/6/2001,106.33
7/9/2001,104.72
7/10/2001,101.96
7/11/2001,103.85
7/12/2001,107.25
7/13/2001,108.53
7/16/2001,107.82
7/17/2001,108.53
7/18/2001,104.28
7/19/2001,103.96
7/20/2001,105.7
7/23/2001,105.85
7/24/2001,104.51
7/25/2001,104.8
7/26/2001,106
7/27/2001,104.7
7/30/2001,105.85
7/31/2001,105.21
8/1/2001,107.06
8/2/2001,108.8
8/3/2001,108.18
8/6/2001,106.51
8/7/2001,106.25
8/8/2001,104.19
8/9/2001,104.08
8/10/2001,104.95
8/13/2001,105.86
8/14/2001,106.2
8/15/2001,105.02
8/16/2001,105.75
8/17/2001,104.59
8/20/2001,104.1
8/21/2001,101.88
8/22/2001,103.96
8/23/2001,103
8/24/2001,106.99
8/27/2001,106.86
8/28/2001,104.95
8/29/2001,104.19
8/30/2001,100.36
8/31/2001,99.95
9/3/2001,99.95
9/4/2001,101.49
9/5/2001,100.69
9/6/2001,98
9/7/2001,96.59
9/10/2001,96.47
9/11/2001,96.47
9/17/2001,93.34
9/18/2001,96.4
9/19/2001,96
9/20/2001,93.4
9/21/2001,90.5
9/24/2001,94.8
9/25/2001,94.45
9/26/2001,91.3
9/27/2001,90
9/28/2001,92.3
10/1/2001,92.71
10/2/2001,93.77
10/3/2001,96.95
10/4/2001,97.31
10/5/2001,98.02
10/8/2001,98.5
10/9/2001,97.14
10/10/2001,97.25
10/11/2001,99.4
10/12/2001,100.84
10/15/2001,102
10/16/2001,101.85
10/17/2001,102.9
10/18/2001,101.26
10/19/2001,102.65
10/22/2001,105.25
10/23/2001,105.81
10/24/2001,108.57
10/25/2001,110.66
10/26/2001,111.16
10/29/2001,108.62
10/30/2001,108.65
10/31/2001,108.07
11/1/2001,109.89
11/2/2001,109.35
11/5/2001,109.97
11/6/2001,114.19
11/7/2001,113.85
11/8/2001,113.81
11/9/2001,114.08
11/12/2001,114.9
11/13/2001,116.7
11/14/2001,114.35
11/15/2001,114.75
11/16/2001,114.5
11/19/2001,115
11/20/2001,115.25
11/21/2001,114.34
11/22/2001,114.34
11/23/2001,115.35
11/26/2001,116.33
11/27/2001,114.2
11/28/2001,112.15
11/29/2001,114.43
11/30/2001,115.59
12/3/2001,114.13
12/4/2001,116.64
12/5/2001,121.4
12/6/2001,120.14
12/7/2001,120.4
12/10/2001,119.66
12/11/2001,121.5
12/12/2001,123.2
12/13/2001,120.25
12/14/2001,121.1
12/17/2001,121.34
12/18/2001,122.2
12/19/2001,123.89
12/20/2001,122.7
12/21/2001,122
12/24/2001,121.45
12/26/2001,122.4
12/27/2001,123.5
12/28/2001,122.67
12/31/2001,120.96
1/2/2002,121.5
1/3/2002,123.66
1/4/2002,125.6
1/7/2002,124.05
1/8/2002,124.7
1/9/2002,124.49
1/10/2002,122.14
1/11/2002,120.31
1/14/2002,118.05
1/15/2002,118.85
1/16/2002,117.27
1/17/2002,119.9
1/18/2002,114.25
1/21/2002,114.25
1/22/2002,110.5
1/23/2002,107.9
1/24/2002,108.6
1/25/2002,109.19
1/28/2002,108.15
1/29/2002,103
1/30/2002,105.55
1/31/2002,107.89
2/1/2002,108
2/4/2002,106.8
2/5/2002,106.3
2/6/2002,106.63
2/7/2002,103.91
2/8/2002,104.99
2/11/2002,107.38
2/12/2002,106.57
2/13/2002,108.07
2/14/2002,107.89
2/15/2002,102.88
2/18/2002,102.88
2/19/2002,99.54
2/20/2002,99.31
2/21/2002,96.38
2/22/2002,98.45
2/25/2002,98.25
2/26/2002,97.15
2/27/2002,97.83
2/28/2002,98.12
3/1/2002,103.02
3/4/2002,105.9
3/5/2002,105.67
3/6/2002,106.3
3/7/2002,103.71
3/8/2002,105.09
3/11/2002,105.24
3/12/2002,108.5
3/13/2002,107.18
3/14/2002,106.6
3/15/2002,106.79
3/18/2002,106.35
3/19/2002,107.49
3/20/2002,105.5
3/21/2002,106.78
3/22/2002,105.6
3/25/2002,103.56
3/26/2002,102.9
3/27/2002,103.39
3/28/2002,104
4/1/2002,102.86
4/2/2002,101.01
4/3/2002,99.96
4/4/2002,100.84
4/5/2002,97.25
4/8/2002,87.41
4/9/2002,87.74
4/10/2002,89.01
4/11/2002,84.19
4/12/2002,85.6
4/15/2002,85.35
4/16/2002,86.2
4/17/2002,84.5
4/18/2002,88.95
4/19/2002,89
4/22/2002,87.93
4/23/2002,87.33
4/24/2002,86.5
4/25/2002,86.71
4/26/2002,84.71
4/29/2002,83.89
4/30/2002,83.76
5/1/2002,84.3
5/2/2002,83.86
5/3/2002,81.78
5/6/2002,76
5/7/2002,76.5
5/8/2002,82.45
5/9/2002,79.93
5/10/2002,79.68
5/13/2002,82.19
5/14/2002,85.48
5/15/2002,84.5
5/16/2002,85.45
5/17/2002,85.69
5/20/2002,84.45
5/21/2002,83.45
5/22/2002,84
5/23/2002,84.35
5/24/2002,83.1
5/27/2002,83.1
5/28/2002,82.08
5/29/2002,81.6
5/30/2002,82.25
5/31/2002,80.45
6/3/2002,78.11
6/4/2002,79.31
6/5/2002,80.55
6/6/2002,79.66
6/7/2002,78.3
6/10/2002,76.8
6/11/2002,75.49
6/12/2002,74.65
6/13/2002,75.6
6/14/2002,76.2
6/17/2002,77.14
6/18/2002,75.94
6/19/2002,73.3
6/20/2002,71.58
6/21/2002,68.75
6/24/2002,69.7
6/25/2002,68.6
6/26/2002,70.05
6/27/2002,71.9
6/28/2002,72
7/1/2002,67.6
7/2/2002,68.58
7/3/2002,70.51
7/4/2002,70.51
7/5/2002,73.5
7/8/2002,71.3
7/9/2002,69.67
7/10/2002,68.76
7/11/2002,69.41
7/12/2002,69.21
7/15/2002,70.93
7/16/2002,69.01
7/17/2002,70.69
7/18/2002,72.05
7/19/2002,72
7/22/2002,68.5
7/23/2002,67.05
7/24/2002,69.54
7/25/2002,69.35
7/26/2002,66.4
7/29/2002,71.18
7/30/2002,71.79
7/31/2002,70.4
8/1/2002,68.25
8/2/2002,67.88
8/5/2002,65.99
8/6/2002,67.9
8/7/2002,69.17
8/8/2002,71.61
8/9/2002,71.83
8/12/2002,71.77
8/13/2002,71.9
8/14/2002,74.92
8/15/2002,76.5
8/16/2002,79.35
8/19/2002,82.49
8/20/2002,81.27
8/21/2002,81
8/22/2002,81.99
8/23/2002,80.4
8/26/2002,79.42
8/27/2002,77.96
8/28/2002,76.06
8/29/2002,76.62
8/30/2002,75.38
9/2/2002,75.38
9/3/2002,72.35
9/4/2002,73.73
9/5/2002,72.18
9/6/2002,73.2
9/9/2002,74.5
9/10/2002,75.6
9/11/2002,74.2
9/12/2002,71.87
9/13/2002,72.5
9/16/2002,72.32
9/17/2002,71.75
9/18/2002,69.52
9/19/2002,64.8
9/20/2002,63.92
9/23/2002,63.37
9/24/2002,59.75
9/25/2002,63.01
9/26/2002,62.02
9/27/2002,60.36
9/30/2002,58.31
10/1/2002,61.17
10/2/2002,59.63
10/3/2002,60
10/4/2002,56.6
10/7/2002,56.86
10/8/2002,57.05
10/9/2002,55.09
10/10/2002,57.58
10/11/2002,63.92
10/14/2002,63.42
10/15/2002,68.48
10/16/2002,64.9
10/17/2002,72.2
10/18/2002,74.25
10/21/2002,75.55
10/22/2002,74.49
10/23/2002,74.6
10/24/2002,72.1
10/25/2002,74.56
10/28/2002,76.56
10/29/2002,76.74
10/30/2002,78.94
10/31/2002,78.94
11/1/2002,80.4
11/4/2002,82.48
11/5/2002,81.62
11/6/2002,81.85
11/7/2002,78.72
11/8/2002,77.59
11/11/2002,77.29
11/12/2002,79.15
11/13/2002,79.35
11/14/2002,80.72
11/15/2002,80.01
11/18/2002,79.18
11/19/2002,78.37
11/20/2002,81.61
11/21/2002,84.9
11/22/2002,84.43
11/25/2002,86.2
11/26/2002,85.06
11/27/2002,87.7
11/28/2002,87.7
11/29/2002,86.92
12/2/2002,87.3
12/3/2002,85.21
12/4/2002,83.69
12/5/2002,83.06
12/6/2002,82.32
12/7/2002,82.32
12/8/2002,82.32
12/9/2002,79.59
12/10/2002,80.8
12/11/2002,81.44
12/12/2002,80.17
12/13/2002,80
12/16/2002,81.62
12/17/2002,80.31
12/18/2002,79.13
12/19/2002,78.66
12/20/2002,79.79
12/23/2002,80.26
12/24/2002,79.76
12/26/2002,78.5
12/27/2002,77.36
12/30/2002,76.25
12/31/2002,77.5
1/2/2003,80.57
